,gps_e,gps_n,pf_e,pf_n,pf_theta,diff_e,diff_n,diff_sum,error
0,743073.622549609,3398155.4792778715,742838.9568586542,3399120.0593094705,0.9054907904580681,55067.98651133643,930414.6373593699,985482.6238707063,992.7147746813816
1,743085.6129451012,3398167.8787634466,,,0.0,,,,
2,743097.5966236403,3398180.573923815,742835.3406283756,3399116.6846755864,0.7037935930340912,68778.2070522396,876303.3395819559,945081.5466341955,972.1530469191543
3,743109.5936520102,3398192.677780639,,,0.0,,,,
4,743119.5465575338,3398204.7354028807,,,0.0,,,,
5,743128.4840832676,3398216.474250645,743013.5200212024,3398699.453666277,0.9108871639668586,13216.735566539282,233269.11592453608,246485.85149107536,496.47341468710624
6,743134.3554518472,3398228.143727629,742897.8761664291,3398683.2484354624,1.1346274867102766,55922.45243183437,207120.29509210572,263042.7475239401,512.8769321425366
7,743138.1693371106,3398240.3582739756,,,0.0,,,,
8,743138.9237725192,3398252.2077815174,743151.4998424948,3398256.302387706,1.7334044868473242,158.15753603171765,16.76579983965238,174.92333587137003,13.225858606206632
9,743135.5967260677,3398263.6691221525,,,0.0,,,,
10,743130.2456733263,3398274.197232203,,,0.0,,,,
11,743122.8706194009,3398283.792114356,743132.9301325313,3398284.2595306505,2.467765044945939,101.19380442185836,0.21847799225636916,101.41228241411473,10.070366548150803
12,743114.4735388191,3398293.363875884,743123.6647598279,3398292.5884990995,2.5205234307210627,84.47854363216082,0.6012091581202351,85.07975279028106,9.2238686455457
13,743104.0257067363,3398303.185054488,,,0.0,,,,
14,743092.549167203,3398313.278778639,743101.8314055728,3398311.0722096586,2.4538933395644746,86.15994915392847,4.868946666099825,91.0288958200283,9.540906446456138
15,743081.0525827627,3398324.2594922245,743088.999145218,3398322.7265852527,2.4354895065250073,63.14785485733435,2.3498037844133335,65.49765864174769,8.09306237723074
16,743068.5272980707,3398335.512755378,,,0.0,,,,
17,743054.980005682,3398346.7429119837,743064.1592756154,3398344.5973606044,2.4049752887267988,84.25899650975491,4.603390721234924,88.86238723098984,9.42668484839659
18,743041.4126783215,3398358.8600623417,743051.4125399865,3398356.947927012,2.4185412143119844,99.99723332053769,3.6562615185636553,103.65349483910134,10.181036039573838
19,743028.8807878622,3398370.4090263713,,,0.0,,,,
20,743016.3489241955,3398381.958003455,743026.7318234795,3398379.702888328,2.413289102577743,107.80459754196903,5.085544234785204,112.89014177675423,10.624977260058218
21,743003.830461042,3398392.915674766,743014.5130052058,3398390.123753683,2.4399201845431846,114.11674981105658,7.794823333052577,121.91157314410916,11.041357395905141
22,742991.3053368715,3398404.169018575,,,0.0,,,,
23,742978.7869250835,3398415.1267160675,,,0.0,,,,
24,742966.2685388178,3398426.0844266554,742977.5565451429,3398422.5805055797,2.4790332965998774,127.41908679630896,12.277462904903292,139.69654970121226,11.819329494569997
25,742952.7147823203,3398437.6103586387,,,0.0,,,,
26,742940.1897636177,3398448.863755884,,,0.0,,,,
27,742927.6580861503,3398460.4128255574,742939.5334045044,3398456.816659172,2.5206979010119683,141.02318601151163,12.932412671032894,153.95559868254452,12.407884536960541
28,742915.1331200834,3398471.6662489446,,,0.0,,,,
29,742902.5881273081,3398483.8066634005,,,0.0,,,,
30,742890.05653054,3398495.35577223,742901.0258952641,3398490.9243188556,2.407409484094562,120.32696245081185,19.637779007836816,139.96474145864866,11.830669527066025
31,742876.4895757866,3398507.4731091154,,,0.0,,,,
32,742863.9714010425,3398518.430926559,,,0.0,,,,
33,742852.4752670528,3398529.4118584734,742863.4858011204,3398524.818084426,2.438562399962675,121.23186045462181,21.102759996861835,142.33462045148366,11.930407388328517
34,742840.9992045437,3398539.505823491,,,0.0,,,,
35,742831.593919897,3398548.463361335,,,0.0,,,,
36,742823.2307100279,3398556.5570274666,742836.3661593692,3398552.255593976,2.4409839285214505,172.54002940001018,18.502330073962913,191.0423594739731,13.821807388108587
37,742815.8895242782,3398564.673797488,,,0.0,,,,
38,742811.6010178723,3398573.451183376,,,0.0,,,,
39,742810.3718656282,3398582.5935226665,742818.8136180539,3398574.7501730784,1.7889094901760278,71.26318401755806,61.51813276120479,132.78131677876286,11.523077574101585
40,742811.1867327034,3398591.782057628,,,0.0,,,,
41,742816.1029946315,3398600.471667115,,,0.0,,,,
42,742823.0565805447,3398609.503136771,742825.0727592935,3398603.201832709,1.127700394208316,4.064976747125691,39.70643288048088,43.77140962760657,6.615996495434877
43,742832.0474849014,3398618.876470933,,,0.0,,,,
44,742841.0316904135,3398628.545473046,,,0.0,,,,
45,742851.0245178551,3398638.828904383,742850.4461753556,3398634.9883381724,0.8563602703679408,0.3344800467980911,14.749948816840611,15.084428863638703,3.8838677711321097
46,742860.997275298,3398649.9993244,,,0.0,,,,
47,742871.9853305038,3398661.488518558,,,0.0,,,,
48,742883.9953636352,3398673.0008308757,742882.6038892225,3398666.16458575,0.774921609933518,1.9362010413495847,46.73424741763544,48.67044845898502,6.9764208917599735
49,742894.9700010294,3398685.081370756,742894.2380883126,3398677.862497063,0.8221375595471129,0.5356962251217651,52.112137397538866,52.647833622660634,7.255882690800661
50,742906.9732977924,3398696.889371787,,,0.0,,,,
51,742918.9565121104,3398709.5843663835,742917.3032689977,3398701.6779759554,0.8409965993055893,2.7332127897794862,62.5110096011944,65.24422239097389,8.07738957776421
52,742931.9616950369,3398722.302486482,742930.7213365484,3398715.9984278507,0.8084419372214451,1.5384891797494011,39.74115522833574,41.27964440808514,6.424923688891965
53,742944.9534748247,3398735.6119434363,,,0.0,,,,
54,742957.9318491342,3398749.512737362,742957.1845074188,3398741.238480116,0.8377920532231845,0.5585196395493341,68.46333297968377,69.0218526192331,8.307939131892644
55,742970.9235629984,3398762.8222303474,,,0.0,,,,
56,742983.9152442892,3398776.1317413277,,,0.0,,,,
57,742996.9202682482,3398788.849951209,742991.8648969656,3398782.5011078822,0.8323134651707086,25.55677880516141,40.307811588152845,65.86459039331426,8.115700240479207
58,743008.9099588813,3398801.2494014176,743003.3254727232,3398794.7953998805,0.8032321225229726,31.186485649999614,41.65413584035351,72.84062149035313,8.534671727158177
59,743020.8996214846,3398813.6488669743,,,0.0,,,,
60,743032.8892560543,3398826.0483478806,743026.2895306951,3398819.946428269,0.810487441097902,43.5563748173413,37.23342294460159,80.78979776194289,8.988314511739278
61,743044.8788625951,3398838.4478441332,,,0.0,,,,
62,743056.8617516843,3398851.1430153707,,,0.0,,,,
63,743068.8579915811,3398863.246882683,743064.0830183083,3398855.2261411324,0.7283980558322175,22.800369756065326,64.33229502340622,87.13266477947154,9.334487922723536
64,743080.8408238865,3398875.9420846547,743075.19576013,3398867.588280694,0.8446283590416112,31.866744814943562,69.78604061224411,101.65278542718767,10.082300601905681
65,743092.8303179414,3398888.3416423188,,,0.0,,,,
66,743104.8130931044,3398901.0368750403,743097.783055647,3398892.9416299225,0.8423998468511918,49.42142665183164,65.53299351705866,114.9544201688903,10.721679913562534
67,743116.789148297,3398914.0277828765,743109.8236775806,3398905.3675878667,0.7549554824811424,48.51778230205189,74.99897760746882,123.51675990952072,11.113809423843865
68,743128.7651740138,3398927.018706135,,,0.0,,,,
