,gps_e,gps_n,pf_e,pf_n,pf_theta,diff_e,diff_n,diff_sum,error
0,743072.0994112047,3398151.8400182202,742836.5302208372,3399114.77666205,0.9008016303544437,55492.84345038731,927246.9800297547,982739.823480142,991.3323476413659
1,743073.2925900074,3398153.069184269,742834.5871711512,3399121.5959300506,0.8882068668367896,56980.27699132937,938044.0572946217,995024.3342859511,997.5090647638001
2,743074.4830680592,3398154.294389402,742835.4451476173,3399122.8030700097,0.8938077208064201,57139.12740920922,938009.0644123863,995148.1918215955,997.5711462455174
3,743075.6737945119,3398155.5224155285,742901.7115832927,3398616.871123888,2.0638075000094087,30262.850932289086,212842.63070500168,243105.48163729077,493.05728028018285
4,743076.8649980533,3398156.746113555,743468.0197086316,3398825.3165219976,2.1536088771369744,153002.00760756744,446986.3910450025,599988.39865257,774.5891805677187
5,743078.0572697086,3398157.9689577636,742705.586680048,3397776.088011418,0.8851992886339853,138734.3401620955,145833.0571818319,284567.3973439274,533.4485892229235
6,743079.2510265792,3398159.1932304194,743062.3495614752,3398320.9081992083,2.3076839942837033,285.6595226604292,26151.73113039594,26437.39065305637,162.59578916151662
7,743080.4391431441,3398160.4132432127,742927.0121997487,3398130.724107285,1.8884012031727797,23539.82695965626,881.44479213386,24421.271751790122,156.2730679029183
8,743081.631227551,3398161.6285419744,742661.5221383913,3397719.8329615183,0.7928976001598448,176491.6467946398,195183.33491048345,371674.9817051232,609.6515248116117
9,743082.8165688163,3398162.8468909804,742832.2965889275,3398058.994451694,1.0392378786749041,62760.260323487826,10785.329145691217,73545.58946917905,271.19290084583525
10,743084.000313006,3398164.065772223,742818.6408431537,3397938.458321447,0.9318469343668127,70415.64824029045,50898.721845555985,121314.37008584643,348.30212472198104
11,743085.1843478783,3398165.282645637,,,0.0,,,,
12,743086.3638434375,3398166.5067774053,,,0.0,,,,
13,743087.5488180271,3398167.731420693,,,0.0,,,,
14,743088.7184864868,3398168.9607284376,,,0.0,,,,
15,743089.8814585267,3398170.19102126,742837.0292960248,3399070.3826771462,0.945527217782045,63934.21608188277,810345.0173274259,874279.2334093086,935.0290013733844
16,743091.046569993,3398171.4194772136,742836.4104507287,3399118.3280693344,0.9614962992891533,64839.55323397996,896635.8818320901,961475.4350660701,980.5485378430127
17,743092.2071888655,3398172.653126355,742836.9677051507,3399119.1856374964,0.971220863459013,65147.194046998775,895923.794648055,961070.9886950537,980.3422813971933
18,743093.367809803,3398173.891605471,742838.3670705655,3399120.31403196,1.019179112647921,65025.377011684956,895715.4093616707,960740.7863733557,980.1738551774148
19,743094.5261857696,3398175.1276836293,742838.8537205906,3399118.9358027466,1.0234341340591224,65368.40945070652,890773.7657117022,956142.1751624087,977.8252273092614
20,743095.684092271,3398176.362795692,742731.9205583826,3397812.5157560026,0.9631179146710296,132323.908586966,132384.66829067425,264708.5768776402,514.4983740281792
21,743096.8435192633,3398177.5997502417,742955.5296549395,3398851.3933101627,1.087093377401817,19969.608250118632,453997.7613909793,473967.3696410979,688.4528812061853
22,743097.997399414,3398178.8283145935,742972.77173333,3398760.3749475013,0.8787379237991689,15681.467446175848,338196.4862464216,353877.95369259745,594.8764188405836
23,743099.1655102129,3398180.0573043576,743061.2959474283,3398852.0596815916,0.8725855128027608,1434.103785493663,451587.1950080581,453021.29879355174,673.0685691618289
24,743100.3189413053,3398181.2859621597,,,0.0,,,,
25,743101.4675112974,3398182.516369726,,,0.0,,,,
26,743102.6133630404,3398183.7485238784,,,0.0,,,,
27,743103.7566912549,3398184.970858222,,,0.0,,,,
28,743104.9021562116,3398186.193447675,,,0.0,,,,
29,743106.0427381219,3398187.4108645716,,,0.0,,,,
30,743107.1805660536,3398188.6256881943,,,0.0,,,,
31,743108.3178170731,3398189.839362491,742603.5984427782,3397651.6782970843,0.8536655015589799,254741.6467885934,289617.3323196009,544358.9791081944,737.8068711446067
